PC_Time,ESP_ms,Thrust_g,TorquePush_Nm,TorquePull_Nm,Throttle_PWM,Push_g,Pull_g,Volts,Amps,RPM
22:45:23.099018,4584714,-0.94,0.0000,0.0000,1000,-0.38,-0.35,29.69,0.041,0
22:45:23.138996,4584734,-0.27,0.0000,0.0000,1000,-0.38,-0.35,29.69,0.044,0
22:45:23.196769,4584794,-0.27,0.0000,0.0000,1000,-0.33,-0.35,29.69,0.041,0
22:45:23.215800,4584814,-0.03,0.0000,0.0000,1000,-0.33,-0.39,29.69,0.050,0
22:45:23.233131,4584834,-0.03,0.0000,0.0000,1000,-0.33,-0.39,29.69,0.050,0
22:45:23.248110,4584854,-0.03,0.0000,0.0000,1000,-0.28,-0.39,29.69,0.048,0
22:45:23.275061,4584874,-0.03,0.0000,0.0000,1000,-0.28,-0.39,29.69,0.030,0
22:45:23.278711,4584894,-0.03,0.0000,-0.0003,1000,-0.28,0.55,29.69,0.058,0
22:45:23.318511,4584914,-0.23,0.0000,-0.0003,1000,-0.28,0.55,29.69,0.031,0
22:45:23.319455,4584934,-0.23,0.0000,-0.0003,1000,-0.28,0.55,29.69,0.042,0
22:45:23.379437,4584954,-0.23,0.0000,-0.0003,1000,-0.10,0.55,29.69,0.053,0
22:45:23.439790,4585034,0.41,0.0000,-0.0007,1000,-0.10,1.06,29.69,0.042,0
22:45:23.458749,4585054,0.41,0.0000,-0.0007,1000,0.03,1.06,29.69,0.048,0
22:45:23.459622,4585074,0.41,0.0000,-0.0007,1000,0.03,1.06,29.69,0.045,0
22:45:23.498608,4585094,0.92,0.0000,0.0000,1000,0.03,0.11,29.69,0.059,0
22:45:23.499685,4585114,0.92,0.0000,0.0000,1000,0.03,0.11,29.69,0.048,0
22:45:23.556152,4585134,0.92,0.0000,0.0000,1000,0.05,0.11,29.69,0.050,0
22:45:23.583919,4585174,0.92,0.0000,0.0000,1000,0.05,0.23,29.69,0.044,0
22:45:23.607519,4585194,0.46,0.0000,0.0000,1000,0.05,0.23,29.69,0.061,0
22:45:23.620012,4585214,0.46,0.0000,0.0000,1000,0.05,0.23,29.69,0.047,0
22:45:23.644478,4585234,0.46,0.0000,0.0000,1000,-0.14,0.23,29.69,0.052,0
22:45:23.645360,4585254,0.46,0.0000,0.0000,1000,-0.14,0.23,29.69,0.052,0
22:45:23.679375,4585274,-0.58,0.0000,0.0000,1000,-0.14,0.18,29.69,0.052,0
22:45:23.680260,4585294,-0.58,0.0000,0.0000,1000,-0.14,0.18,29.69,0.044,0
22:45:23.698801,4585314,-0.58,0.0000,0.0000,1000,-0.14,0.18,29.69,0.045,0
22:45:23.754540,4585334,-0.58,-0.0004,0.0000,1000,-0.69,0.18,29.69,0.048,0
22:45:23.820944,4585434,-1.06,0.0000,0.0000,1000,-0.37,0.09,29.69,0.053,0
22:45:23.838962,4585454,-1.06,0.0000,0.0000,1000,-0.37,0.09,29.69,0.044,0
22:45:23.878877,4585474,-0.26,0.0000,0.0000,1000,-0.37,0.09,29.69,0.062,0
22:45:23.879809,4585494,-0.26,0.0000,0.0000,1000,-0.37,0.09,29.69,0.042,0
22:45:23.931120,4585514,-0.26,0.0000,0.0000,1000,0.26,0.09,29.69,0.044,0
22:45:23.989950,4585594,-0.57,0.0000,0.0000,1000,0.26,0.24,29.69,0.047,0
22:45:24.020900,4585614,-0.57,0.0000,0.0000,1000,-0.38,0.24,29.69,0.047,0
22:45:24.021877,4585634,-0.57,0.0000,0.0000,1000,-0.38,0.24,29.69,0.042,0
22:45:24.059182,4585654,0.12,0.0000,0.0000,1000,-0.38,-0.32,29.69,0.041,0
22:45:24.060099,4585674,0.12,0.0000,0.0000,1000,-0.38,-0.32,29.69,0.038,0
22:45:24.117780,4585694,0.12,-0.0003,0.0000,1000,-0.53,-0.32,29.69,0.038,0
22:45:24.186363,4585774,0.69,-0.0003,0.0000,1000,-0.53,-0.18,29.69,0.056,0
22:45:24.198987,4585794,0.69,0.0000,0.0000,1000,-0.45,-0.18,29.69,0.028,0
22:45:24.200083,4585814,0.69,0.0000,0.0000,1000,-0.45,-0.18,29.69,0.047,0
22:45:24.238798,4585834,-0.20,0.0000,0.0000,1000,-0.45,0.48,29.69,0.053,0
22:45:24.239704,4585854,-0.20,0.0000,0.0000,1000,-0.45,0.48,29.69,0.045,0
22:45:24.259180,4585874,-0.20,0.0000,0.0000,1000,-0.45,0.48,29.69,0.052,0
22:45:24.320895,4585894,-0.20,0.0000,0.0000,1000,-0.33,0.48,29.69,0.053,0
22:45:24.353114,4585934,-1.13,0.0000,0.0000,1000,-0.33,0.24,29.69,0.053,0
22:45:24.368718,4585954,-1.13,0.0000,0.0000,1000,-0.33,0.24,29.69,0.045,0
22:45:24.400431,4585994,-1.13,0.0000,0.0000,1000,-0.08,0.24,29.69,0.039,0
22:45:24.418870,4586014,-0.76,0.0000,0.0000,1000,-0.08,0.24,29.69,0.045,0
22:45:24.419785,4586034,-0.76,0.0000,0.0000,1000,-0.08,0.30,29.69,0.061,0
22:45:24.438920,4586054,-0.76,0.0000,0.0000,1000,-0.08,0.30,29.69,0.055,0
22:45:24.483875,4586074,-0.76,-0.0003,0.0000,1000,-0.55,0.30,29.69,0.048,0
22:45:24.570394,4586174,-0.49,0.0000,0.0000,1000,-0.47,0.46,29.69,0.045,0
22:45:24.578441,4586194,-0.49,0.0000,0.0000,1000,-0.47,0.46,29.69,0.048,0
22:45:24.598974,4586214,-0.49,0.0000,0.0000,1000,-0.47,0.50,29.69,0.055,0
22:45:24.641501,4586234,-0.49,0.0000,0.0000,1000,-0.47,0.50,29.69,0.030,0
22:45:24.696317,4586274,-0.49,0.0000,0.0000,1000,-0.20,0.50,29.69,0.034,0
22:45:24.711721,4586294,-0.09,0.0000,0.0000,1000,-0.20,0.50,29.69,0.061,0
22:45:24.735230,4586334,-0.09,0.0000,0.0000,1000,-0.20,0.39,29.69,0.044,0
22:45:24.738879,4586354,-0.09,0.0000,0.0000,1000,0.02,0.39,29.69,0.048,0
22:45:24.758770,4586374,-0.09,0.0000,0.0000,1000,0.02,0.39,29.69,0.047,0
22:45:24.778816,4586394,0.05,0.0000,0.0000,1000,0.02,0.39,29.69,0.059,0
22:45:24.821394,4586414,0.05,0.0000,0.0000,1000,0.02,-0.02,29.69,0.056,0
22:45:24.850803,4586434,0.05,0.0000,0.0000,1000,0.02,-0.02,29.69,0.044,0
22:45:24.871099,4586454,0.05,0.0000,0.0000,1000,0.11,-0.02,29.69,0.047,0
22:45:24.900686,4586514,-0.83,0.0000,0.0000,1000,0.11,-0.04,29.69,0.044,0
22:45:24.919172,4586534,-0.83,0.0000,0.0000,1000,-0.28,-0.04,29.69,0.048,0
22:45:24.940052,4586554,-0.83,0.0000,0.0000,1000,-0.28,-0.04,29.69,0.017,0
22:45:25.011699,4586574,-0.94,0.0000,0.0000,1000,-0.28,-0.04,29.69,0.044,0
22:45:25.065467,4586674,-0.31,0.0000,0.0000,1000,-0.04,-0.08,29.69,0.038,0
22:45:25.099051,4586694,-0.31,0.0000,0.0000,1000,-0.04,0.21,29.69,0.059,0
22:45:25.100125,4586714,-0.31,0.0000,0.0000,1000,-0.04,0.21,29.69,0.036,0
22:45:25.128722,4586734,-0.31,0.0000,0.0000,1000,-0.05,0.21,29.69,0.053,0
22:45:25.181692,4586754,0.14,0.0000,0.0000,1000,-0.05,0.21,29.69,0.048,0
22:45:25.233877,4586834,0.14,0.0000,0.0000,1000,-0.15,0.37,29.69,0.042,0
22:45:25.238692,4586854,-0.35,0.0000,0.0000,1000,-0.15,0.37,29.69,0.062,0
22:45:25.258690,4586874,-0.35,0.0000,0.0000,1000,-0.15,0.02,29.69,0.050,0
22:45:25.279239,4586894,-0.35,0.0000,0.0000,1000,-0.15,0.02,29.69,0.052,0
22:45:25.347190,4586914,-0.35,0.0000,0.0000,1000,-0.12,0.02,29.69,0.038,0
22:45:25.389183,4586994,-0.57,0.0000,0.0000,1000,-0.12,0.43,29.69,0.044,0
22:45:25.418759,4587014,-0.57,0.0000,0.0000,1000,-0.42,0.43,29.69,0.059,0
22:45:25.419692,4587034,-0.33,0.0000,0.0000,1000,-0.42,0.43,29.69,0.053,0
22:45:25.438802,4587054,-0.33,0.0000,0.0000,1000,-0.42,0.43,29.69,0.061,0
22:45:25.499494,4587074,-0.33,0.0000,0.0000,1000,-0.42,0.33,29.69,0.052,0
22:45:25.548141,4587154,-0.60,0.0000,0.0000,1000,-0.20,0.02,29.69,0.053,0
22:45:25.558444,4587174,-0.60,0.0000,0.0000,1000,-0.20,0.02,29.69,0.041,0
22:45:25.623671,4587194,-0.60,0.0000,0.0000,1000,-0.01,0.02,29.69,0.044,0
22:45:25.712976,4587294,-0.73,0.0000,0.0000,1000,-0.17,0.49,29.69,0.034,0
22:45:25.718733,4587314,-0.19,0.0000,0.0000,1000,-0.17,0.49,29.69,0.039,0
22:45:25.719946,4587334,-0.19,0.0000,0.0000,1000,-0.17,0.49,29.69,0.044,0
22:45:25.738812,4587354,-0.19,0.0000,-0.0003,1000,-0.17,0.54,29.69,0.044,0
22:45:25.759365,4587374,-0.19,0.0000,-0.0003,1000,-0.13,0.54,29.69,0.045,0
22:45:25.830915,4587394,-0.37,0.0000,-0.0003,1000,-0.13,0.54,29.69,0.038,0
22:45:25.871828,4587454,-0.37,0.0000,0.0000,1000,-0.13,-0.04,29.69,0.047,0
22:45:25.879042,4587474,-0.37,0.0000,0.0000,1000,0.32,-0.04,29.69,0.055,0
22:45:25.879956,4587494,-0.53,0.0000,0.0000,1000,0.32,-0.04,29.69,0.055,0
22:45:25.899680,4587514,-0.53,0.0000,0.0000,1000,0.32,-0.04,29.69,0.030,0
22:45:25.965366,4587534,-0.53,0.0000,0.0000,1000,0.32,-0.03,29.69,0.052,0
22:45:26.044027,4587654,-0.07,-0.0004,0.0000,1000,-0.62,0.47,29.69,0.047,0
22:45:26.059108,4587674,-0.15,-0.0004,0.0000,1000,-0.62,0.47,29.69,0.050,0
22:45:26.078754,4587694,-0.15,-0.0004,0.0000,1000,-0.62,0.47,29.69,0.058,0
22:45:26.122636,4587714,-0.15,-0.0004,0.0000,1000,-0.62,0.29,29.69,0.042,0
22:45:26.174240,4587754,-0.15,0.0000,0.0000,1000,-0.48,0.29,29.69,0.061,0
22:45:26.203131,4587774,-0.39,0.0000,0.0000,1000,-0.48,0.29,29.69,0.050,0
22:45:26.213850,4587814,-0.39,0.0000,0.0000,1000,-0.48,0.36,29.69,0.047,0
22:45:26.218436,4587834,-0.39,0.0000,0.0000,1000,-0.48,0.36,29.69,0.050,0
22:45:26.238977,4587854,-0.14,0.0000,0.0000,1000,0.13,0.36,29.69,0.031,0
22:45:26.297501,4587874,-0.14,0.0000,0.0000,1000,0.13,0.36,29.69,0.058,0
22:45:26.375024,4587974,0.09,0.0000,0.0000,1000,-0.11,0.11,29.69,0.056,0
