PC_Time,ESP_ms,Thrust_g,TorquePush_Nm,TorquePull_Nm,Throttle_PWM,Push_g,Pull_g,Volts,Amps,RPM
22:09:16.779004,2418388,-1.37,0.0004,0.0000,1000,0.57,0.46,30.08,0.048,0
22:09:16.798509,2418408,-1.37,0.0004,0.0000,1000,0.57,0.46,30.08,0.041,0
22:09:16.853707,2418428,-1.37,0.0003,0.0000,1000,0.56,0.46,30.08,0.055,0
22:09:16.882453,2418468,-1.37,0.0003,0.0000,1000,0.56,0.46,30.08,0.055,0
22:09:16.905367,2418488,-1.07,0.0003,0.0000,1000,0.56,0.32,30.08,0.042,0
22:09:16.946196,2418548,-1.07,0.0000,0.0000,1000,0.14,0.32,30.08,0.045,0
22:09:16.958492,2418568,-1.07,0.0000,0.0000,1000,0.14,0.32,30.08,0.038,0
22:09:16.999301,2418588,-0.94,0.0000,0.0000,1000,0.14,0.37,30.08,0.031,0
22:09:17.000314,2418608,-0.94,0.0000,0.0000,1000,0.35,0.37,30.08,0.050,0
22:09:17.043415,2418628,-0.94,0.0000,0.0000,1000,0.35,0.37,30.08,0.047,0
22:09:17.057044,2418648,-0.94,0.0000,0.0000,1000,0.35,0.37,30.08,0.064,0
22:09:17.081699,2418668,-0.66,0.0000,0.0000,1000,0.35,0.38,30.08,0.041,0
22:09:17.095886,2418688,-0.66,0.0000,0.0000,1000,0.35,0.38,30.08,0.052,0
22:09:17.117806,2418708,-0.66,0.0000,0.0000,1000,0.28,0.38,30.08,0.055,0
22:09:17.119617,2418728,-0.66,0.0000,0.0000,1000,0.28,0.38,30.08,0.056,0
22:09:17.138479,2418748,-0.66,0.0000,0.0000,1000,0.28,0.38,30.08,0.048,0
22:09:17.158407,2418768,0.14,0.0000,-0.0005,1000,0.28,0.76,30.08,0.047,0
22:09:17.179135,2418788,0.14,0.0000,-0.0005,1000,0.39,0.76,30.08,0.044,0
22:09:17.198603,2418808,0.14,0.0000,-0.0005,1000,0.39,0.76,30.08,0.052,0
22:09:17.231549,2418828,0.14,0.0000,-0.0005,1000,0.39,0.76,30.08,0.061,0
22:09:17.274326,2418848,0.26,0.0000,-0.0005,1000,0.39,0.76,30.08,0.042,0
22:09:17.313952,2418908,0.26,0.0003,-0.0003,1000,0.51,0.55,30.08,0.042,0
22:09:17.321839,2418928,0.26,0.0003,-0.0003,1000,0.51,0.55,30.08,0.042,0
22:09:17.338876,2418948,-0.41,0.0003,-0.0005,1000,0.51,0.85,30.08,0.050,0
22:09:17.358515,2418968,-0.41,0.0003,-0.0005,1000,0.51,0.85,30.08,0.058,0
22:09:17.406196,2418988,-0.41,0.0004,-0.0005,1000,0.58,0.85,30.08,0.056,0
22:09:17.454567,2419028,-0.41,0.0004,-0.0005,1000,0.58,0.85,30.08,0.038,0
22:09:17.481013,2419048,-0.16,0.0004,-0.0005,1000,0.58,0.76,30.08,0.048,0
22:09:17.490272,2419088,-0.16,0.0005,-0.0005,1000,0.81,0.76,30.08,0.034,0
22:09:17.498752,2419108,-0.16,0.0005,-0.0005,1000,0.81,0.76,30.08,0.042,0
22:09:17.566534,2419128,0.22,0.0005,-0.0005,1000,0.81,0.76,30.08,0.047,0
22:09:17.657803,2419248,0.01,0.0005,-0.0006,1000,0.81,0.90,30.08,0.038,0
22:09:17.678874,2419268,0.01,0.0000,-0.0006,1000,0.39,0.90,30.08,0.050,0
22:09:17.679797,2419288,0.01,0.0000,-0.0006,1000,0.39,0.90,30.08,0.047,0
22:09:17.718578,2419308,-0.46,0.0000,-0.0006,1000,0.39,0.90,30.08,0.048,0
22:09:17.719626,2419328,-0.46,0.0000,-0.0005,1000,0.39,0.76,30.08,0.059,0
22:09:17.778333,2419348,-0.46,0.0000,-0.0005,1000,0.23,0.76,30.09,0.025,0
22:09:17.827580,2419428,-0.54,0.0000,0.0000,1000,0.23,0.19,30.08,0.025,0
