PC_Time,ESP_ms,Thrust_g,TorquePush_Nm,TorquePull_Nm,Throttle_PWM,Push_g,Pull_g,Volts,Amps,RPM
22:18:29.933253,2971544,-1.04,0.0000,0.0000,1000,-0.32,0.33,33.53,0.045,0
22:18:29.968800,2971564,-1.33,0.0000,0.0000,1000,-0.32,0.50,33.53,0.031,0
22:18:29.986789,2971584,-1.33,0.0000,0.0000,1000,-0.28,0.50,33.53,0.047,0
22:18:30.001778,2971604,-1.33,0.0000,0.0000,1000,-0.28,0.50,33.53,0.050,0
22:18:30.029514,2971624,-1.33,0.0000,0.0000,1000,-0.28,0.50,33.53,0.034,0
22:18:30.041907,2971644,-1.33,0.0000,0.0000,1000,-0.28,0.50,33.53,0.033,0
22:18:30.073925,2971664,-0.89,0.0000,-0.0005,1000,-0.28,0.88,33.53,0.047,0
22:18:30.074832,2971684,-0.89,0.0000,-0.0005,1000,-0.41,0.88,33.53,0.041,0
22:18:30.093224,2971704,-0.89,0.0000,-0.0005,1000,-0.41,0.88,33.53,0.061,0
22:18:30.141494,2971724,-0.89,0.0000,-0.0005,1000,-0.41,0.88,33.53,0.056,0
22:18:30.185282,2971764,-0.46,0.0000,-0.0006,1000,-0.41,0.99,33.53,0.041,0
22:18:30.211717,2971784,-0.46,0.0000,-0.0006,1000,-0.26,0.99,33.53,0.041,0
22:18:30.223277,2971824,-0.46,0.0000,-0.0006,1000,-0.26,0.99,33.53,0.038,0
22:18:30.256239,2971844,-1.10,0.0000,0.0000,1000,-0.26,0.43,33.53,0.042,0
22:18:30.257146,2971864,-1.10,0.0000,0.0000,1000,-0.15,0.43,33.53,0.047,0
22:18:30.273632,2971884,-1.10,0.0000,0.0000,1000,-0.15,0.43,33.53,0.073,0
22:18:30.322812,2971904,-1.10,0.0000,0.0000,1000,-0.15,0.43,33.53,0.039,0
22:18:30.340480,2971924,-0.58,0.0000,0.0000,1000,-0.15,0.43,33.53,0.034,0
22:18:30.369321,2971944,-0.58,0.0000,-0.0005,1000,-0.15,0.74,33.53,0.047,0
22:18:30.388457,2971984,-0.58,0.0000,-0.0005,1000,-0.28,0.74,33.53,0.045,0
22:18:30.393226,2972004,-0.58,0.0000,-0.0005,1000,-0.28,0.74,33.53,0.033,0
22:18:30.433178,2972024,-0.91,0.0000,-0.0005,1000,-0.28,0.74,33.53,0.042,0
22:18:30.434072,2972044,-0.91,0.0000,0.0000,1000,-0.28,0.14,33.53,0.031,0
22:18:30.471806,2972064,-0.91,0.0000,0.0000,1000,-0.33,0.14,33.53,0.052,0
22:18:30.494750,2972084,-0.91,0.0000,0.0000,1000,-0.33,0.14,33.53,0.050,0
22:18:30.519529,2972104,-0.91,0.0000,0.0000,1000,-0.33,0.14,33.53,0.056,0
22:18:30.545622,2972124,-0.61,0.0000,0.0000,1000,-0.33,0.18,33.53,0.044,0
22:18:30.546824,2972144,-0.61,0.0000,0.0000,1000,-0.19,0.18,33.53,0.044,0
22:18:30.553477,2972164,-0.61,0.0000,0.0000,1000,-0.19,0.18,33.53,0.038,0
22:18:30.573303,2972184,-0.61,0.0000,0.0000,1000,-0.19,0.18,33.53,0.038,0
22:18:30.611792,2972204,-0.20,0.0000,0.0000,1000,-0.19,0.18,33.53,0.033,0
22:18:30.640768,2972224,-0.20,0.0000,0.0000,1000,-0.19,-0.14,33.53,0.047,0
22:18:30.701417,2972284,-0.20,0.0000,0.0000,1000,0.00,-0.14,33.53,0.038,0
22:18:30.712995,2972304,-0.53,0.0000,0.0000,1000,0.00,-0.14,33.53,0.053,0
22:18:30.713904,2972324,-0.53,0.0000,0.0000,1000,0.00,-0.15,33.53,0.055,0
22:18:30.753688,2972344,-0.53,0.0000,0.0000,1000,-0.15,-0.15,33.53,0.036,0
22:18:30.754746,2972364,-0.53,0.0000,0.0000,1000,-0.15,-0.15,33.53,0.042,0
22:18:30.800647,2972384,-0.88,0.0000,0.0000,1000,-0.15,-0.15,33.53,0.055,0
22:18:30.871233,2972464,-0.88,0.0000,0.0000,1000,-0.26,0.37,33.53,0.036,0
22:18:30.872898,2972484,-1.03,0.0000,0.0000,1000,-0.26,0.37,33.53,0.041,0
22:18:30.893443,2972504,-1.03,0.0000,0.0000,1000,-0.26,0.46,33.53,0.047,0
22:18:30.957537,2972524,-1.03,0.0000,0.0000,1000,-0.20,0.46,33.53,0.047,0
22:18:31.034356,2972644,-0.83,0.0000,0.0000,1000,0.05,0.30,33.53,0.039,0
22:18:31.053293,2972664,-0.33,0.0000,0.0000,1000,0.05,0.30,33.53,0.048,0
22:18:31.073127,2972684,-0.33,0.0000,0.0000,1000,0.05,0.30,33.53,0.045,0
22:18:31.093573,2972704,-0.33,0.0000,0.0000,1000,-0.15,0.12,33.53,0.044,0
22:18:31.134815,2972724,-0.33,0.0000,0.0000,1000,-0.15,0.12,33.53,0.036,0
22:18:31.146993,2972744,-0.33,0.0000,0.0000,1000,-0.15,0.12,33.53,0.042,0
22:18:31.194723,2972764,-0.52,0.0000,0.0000,1000,-0.15,0.12,33.53,0.061,0
22:18:31.231939,2972824,-0.52,0.0000,0.0000,1000,-0.14,0.22,33.53,0.050,0
22:18:31.242349,2972844,-0.50,0.0000,0.0000,1000,-0.14,0.22,33.53,0.036,0
22:18:31.253521,2972864,-0.50,0.0000,0.0000,1000,-0.14,0.22,33.53,0.050,0
22:18:31.292998,2972884,-0.50,0.0000,0.0000,1000,-0.14,-0.04,33.53,0.052,0
22:18:31.294043,2972904,-0.50,0.0000,0.0000,1000,-0.21,-0.04,33.53,0.031,0
22:18:31.343249,2972924,-0.50,0.0000,0.0000,1000,-0.21,-0.04,33.53,0.038,0
22:18:31.376214,2972944,-0.33,0.0000,0.0000,1000,-0.21,-0.04,33.53,0.044,0
22:18:31.416404,2973024,-0.33,-0.0005,0.0000,1000,-0.84,-0.09,33.53,0.041,0
22:18:31.433616,2973044,-0.73,-0.0005,0.0000,1000,-0.84,-0.09,33.53,0.044,0
22:18:31.453229,2973064,-0.73,-0.0005,0.0000,1000,-0.84,0.32,33.53,0.031,0
22:18:31.519646,2973084,-0.73,-0.0005,0.0000,1000,-0.84,0.32,33.53,0.034,0
22:18:31.582388,2973184,-1.04,0.0000,0.0000,1000,-0.37,0.38,33.53,0.042,0
22:18:31.593305,2973204,-1.04,0.0000,0.0000,1000,-0.37,0.38,33.53,0.039,0
22:18:31.616141,2973224,-0.72,0.0000,0.0000,1000,-0.37,0.38,33.53,0.042,0
22:18:31.653190,2973244,-0.72,0.0000,0.0000,1000,-0.37,0.38,33.53,0.047,0
22:18:31.742592,2973324,-0.85,0.0000,0.0000,1000,-0.14,0.35,33.53,0.069,0
22:18:31.753307,2973344,-0.85,0.0000,0.0000,1000,-0.14,0.41,33.53,0.058,0
22:18:31.754333,2973364,-0.85,0.0000,0.0000,1000,-0.37,0.41,33.53,0.053,0
22:18:31.772953,2973384,-0.85,0.0000,0.0000,1000,-0.37,0.41,33.53,0.047,0
22:18:31.836552,2973404,-0.70,0.0000,0.0000,1000,-0.37,0.41,33.53,0.052,0
22:18:31.925011,2973524,-1.00,0.0000,-0.0004,1000,-0.19,0.58,33.53,0.045,0
22:18:31.954160,2973544,-1.00,0.0000,-0.0003,1000,-0.21,0.53,33.53,0.047,0
22:18:31.955741,2973564,-1.00,0.0000,-0.0003,1000,-0.21,0.53,33.53,0.028,0
22:18:32.019562,2973584,-1.50,0.0000,-0.0003,1000,-0.21,0.53,33.53,0.047,0
22:18:32.089639,2973684,-0.79,-0.0003,0.0000,1000,-0.53,0.26,33.53,0.038,0
22:18:32.093425,2973704,-0.79,-0.0003,0.0000,1000,-0.53,0.26,33.53,0.033,0
22:18:32.144544,2973724,-0.79,-0.0003,0.0000,1000,-0.53,0.05,33.53,0.045,0
22:18:32.170906,2973744,-0.79,-0.0005,0.0000,1000,-0.75,0.05,33.53,0.052,0
22:18:32.191805,2973764,-0.52,-0.0005,0.0000,1000,-0.75,0.05,33.53,0.042,0
22:18:32.229528,2973804,-0.52,-0.0005,0.0000,1000,-0.75,0.05,33.53,0.047,0
22:18:32.247739,2973824,-0.52,-0.0004,0.0000,1000,-0.69,-0.48,33.53,0.052,0
22:18:32.248750,2973844,-0.52,-0.0004,0.0000,1000,-0.69,-0.48,33.53,0.045,0
22:18:32.273440,2973864,-0.66,-0.0004,0.0000,1000,-0.69,-0.48,33.53,0.053,0
22:18:32.274424,2973884,-0.66,-0.0004,0.0000,1000,-0.69,-0.48,33.53,0.047,0
22:18:32.293528,2973904,-0.66,-0.0004,0.0000,1000,-0.69,-0.48,33.53,0.038,0
22:18:32.331926,2973924,-0.66,0.0000,0.0003,1000,0.15,-0.53,33.53,0.041,0
22:18:32.347740,2973944,-0.66,0.0000,0.0003,1000,0.15,-0.53,33.53,0.056,0
22:18:32.378128,2973964,-0.83,0.0000,0.0003,1000,0.15,-0.53,33.53,0.058,0
22:18:32.414054,2974004,-0.83,0.0000,0.0000,1000,0.15,-0.28,33.53,0.055,0
22:18:32.433309,2974024,-0.83,0.0000,0.0000,1000,0.05,-0.28,33.53,0.041,0
22:18:32.434195,2974044,-1.21,0.0000,0.0000,1000,0.05,-0.28,33.53,0.055,0
22:18:32.453743,2974064,-1.21,0.0000,0.0000,1000,0.05,-0.28,33.53,0.044,0
22:18:32.472940,2974084,-1.21,0.0000,0.0000,1000,0.05,-0.28,33.53,0.045,0
22:18:32.529957,2974104,-1.21,0.0000,0.0000,1000,-0.41,-0.23,33.53,0.041,0
22:18:32.590502,2974184,-0.33,0.0000,0.0000,1000,-0.41,-0.23,33.53,0.056,0
22:18:32.605691,2974204,-0.33,0.0000,0.0000,1000,-0.26,0.02,33.53,0.041,0
22:18:32.615878,2974224,-0.15,0.0000,0.0000,1000,-0.26,0.02,33.53,0.031,0
22:18:32.633329,2974244,-0.15,0.0000,0.0000,1000,-0.26,0.02,33.53,0.055,0
